t,c,delT_avg,delT_max,p_max_x,p_max_y
0.01,16,0.09532489133865,0.5536178168927154,0.1,0.1
0.01,16,0.09532489133865,0.5536178168927154,0.1,0.1
0.01,16,0.0047560986456388,0.0223230632625974,0.3,0.3
0.001,16,0.0119645812715031,0.1254099095130894,0.1,0.1
0.1,16,0.0006313259598223136,0.002352087036057493,0.7999999999999999,0.7999999999999999
