Approx. soln.,x,y
13.247125718742609,0.6666666666666666,0.0
13.758609253913164,0.6159196883408578,0.25512228824339317
12.081382436008425,0.4714045207910317,0.4714045207910317
6.672049690037966,0.2551222882433932,0.6159196883408578
1.4017744094016962,4.082155997157844e-17,0.6666666666666666
-3.2817419059574604,-0.2551222882433931,0.6159196883408578
-8.110873637648183,-0.4714045207910316,0.4714045207910317
-10.368301793932915,-0.6159196883408578,0.2551222882433932
-10.443577205762267,-0.6666666666666666,8.164311994315688e-17
-10.368378259241581,-0.6159196883408579,-0.2551222882433931
-8.09604581927124,-0.4714045207910318,-0.4714045207910316
-3.281818574294448,-0.25512228824339356,-0.6159196883408576
1.4017744224402122,-1.224646799147353e-16,-0.6666666666666666
6.6721262745559216,0.25512228824339334,-0.6159196883408578
12.06655502680951,0.47140452079103157,-0.4714045207910318
13.758685991168022,0.6159196883408576,-0.25512228824339356
-3.3115076862923414,-0.25,-0.5
1.5951965042849416,0.0,-0.5
6.769675592973267,0.25,-0.5
-8.148552267325883,-0.5,-0.25
-3.236124029956003,-0.25,-0.25
1.6621400978207173,0.0,-0.25
6.627347995990529,0.25,-0.25
11.606720144625,0.5,-0.25
-7.774798088476255,-0.5,0.0
-3.1465764488760413,-0.25,0.0
1.6621400562005584,0.0,0.0
6.4708566004816355,0.25,0.0
10.965190918709945,0.5,0.0
-8.15135219075933,-0.5,0.25
-3.237523946752092,-0.25,0.25
1.6621400988688568,0.0,0.25
6.628747897825409,0.25,0.25
11.60951993085084,0.5,0.25
-3.314307518525953,-0.25,0.5
1.5951965009894027,0.0,0.5
6.772475445942566,0.25,0.5
